from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Luceville,15,112087.2,31h 08m,,,,,,31h 08m,27h 28m,24h 05m,20h 32m,17h 21m,14h 01m,10h 46m,7h 28m,5h 44m,4h 37m,3h 54m,2h 56m,1h 27m
Manawan,15,111553.3,30h 59m,,,,,,30h 59m,27h 45m,24h 53m,21h 56m,19h 27m,16h 58m,14h 45m,12h 45m,10h 32m,8h 45m,7h 10m,4h 57m,3h 23m
Hauterive,15,115939.7,32h 12m,,,,,,32h 12m,28h 34m,25h 14m,21h 44m,18h 37m,15h 22m,12h 13m,9h 02m,7h 07m,6h 32m,5h 46m,4h 46m,3h 09m
Le Bic,15,111418.4,30h 57m,,,,,,30h 57m,27h 18m,23h 56m,20h 25m,17h 16m,13h 58m,10h 46m,7h 31m,5h 45m,4h 37m,3h 55m,2h 58m,1h 22m
Parc-Boutin,15,106515.7,29h 35m,,,,,,29h 35m,26h 16m,23h 17m,20h 12m,17h 34m,14h 54m,12h 28m,10h 11m,8h 00m,6h 13m,4h 41m,2h 32m,1h 05m
North Oyster/Yellow Point,15,170158.1,47h 16m,,,,,,47h 16m,44h 22m,41h 22m,38h 09m,34h 41m,30h 36m,26h 18m,22h 59m,20h 21m,18h 19m,16h 37m,14h 08m,10h 19m
Baie Ste. Anne,15,121838.5,33h 51m,,,,,,33h 51m,30h 00m,26h 26m,22h 39m,19h 12m,15h 33m,11h 55m,8h 08m,6h 41m,5h 21m,3h 46m,2h 11m,1h 48m
South Pender Harbour,15,168326.3,46h 45m,,,,,,46h 45m,43h 52m,40h 51m,37h 39m,34h 12m,30h 06m,25h 49m,22h 31m,19h 53m,17h 52m,16h 10m,13h 44m,9h 57m
Fundy Bay,15,128438.2,35h 41m,,,,,,35h 41m,31h 52m,28h 20m,24h 36m,21h 12m,17h 36m,14h 03m,10h 21m,8h 47m,7h 24m,5h 57m,4h 14m,3h 29m
Denman Island Trust Area,15,173573.6,48h 13m,,,,,,48h 13m,45h 19m,42h 18m,39h 05m,35h 37m,31h 31m,27h 12m,23h 53m,21h 13m,19h 10m,17h 25m,14h 54m,10h 59m
Shediac Bridge-Shediac River,15,121758.5,33h 49m,,,,,,33h 49m,29h 56m,26h 19m,22h 29m,18h 58m,15h 14m,11h 30m,7h 35m,5h 57m,4h 38m,2h 57m,1h 33m,0h 42m
Saint-Pacôme,15,108656.7,30h 11m,,,,,,30h 11m,26h 37m,23h 21m,19h 56m,16h 54m,13h 45m,10h 45m,7h 44m,5h 55m,4h 30m,3h 37m,2h 26m,1h 18m
Weedon Centre,15,109867.5,30h 31m,,,,,,30h 31m,27h 07m,24h 02m,20h 50m,18h 05m,15h 15m,12h 38m,10h 06m,8h 03m,6h 26m,5h 08m,3h 20m,2h 29m
Six Mile,15,170208.1,47h 17m,,,,,,47h 17m,44h 23m,41h 22m,38h 10m,34h 42m,30h 36m,26h 19m,23h 00m,20h 22m,18h 20m,16h 37m,14h 09m,10h 19m
Greater Lakeburn,15,121506.8,33h 45m,,,,,,33h 45m,29h 53m,26h 16m,22h 26m,18h 56m,15h 13m,11h 30m,7h 37m,5h 56m,4h 39m,3h 01m,1h 37m,0h 40m
Saint-Flavien,15,107434.5,29h 51m,,,,,,29h 51m,26h 24m,23h 17m,20h 02m,17h 13m,14h 19m,11h 36m,8h 58m,7h 01m,5h 32m,4h 25m,2h 53m,2h 28m
Mount Currie 6,15,160875.9,44h 41m,,,,,,44h 41m,41h 47m,38h 46m,35h 33m,32h 04m,27h 57m,23h 38m,20h 18m,17h 45m,15h 41m,14h 00m,11h 54m,8h 41m
Fairisle,15,121432.0,33h 44m,,,,,,33h 44m,29h 54m,26h 21m,22h 35m,19h 09m,15h 31m,11h 55m,8h 10m,6h 49m,5h 26m,3h 55m,2h 15m,1h 54m
Carlisle Road,15,119198.0,33h 07m,,,,,,33h 07m,29h 20m,25h 51m,22h 09m,18h 49m,15h 18m,11h 49m,8h 14m,6h 47m,5h 24m,4h 10m,2h 30m,2h 08m
Brantville,15,122506.6,34h 02m,,,,,,34h 02m,30h 12m,26h 38m,22h 52m,19h 26m,15h 48m,12h 11m,8h 25m,7h 04m,5h 40m,4h 08m,2h 28m,2h 06m
Tabusintac,15,122181.4,33h 56m,,,,,,33h 56m,30h 07m,26h 33m,22h 47m,19h 21m,15h 43m,12h 06m,8h 20m,6h 59m,5h 35m,4h 04m,2h 23m,2h 02m
Saint Irénée and Alderwood,15,122188.0,33h 56m,,,,,,33h 56m,30h 07m,26h 35m,22h 50m,19h 25m,15h 49m,12h 14m,8h 31m,7h 12m,5h 46m,4h 19m,2h 35m,2h 08m
Pepper Creek,15,118954.8,33h 03m,,,,,,33h 03m,29h 16m,25h 46m,22h 04m,18h 44m,15h 12m,11h 43m,8h 06m,6h 39m,5h 17m,4h 02m,2h 23m,2h 02m
Wedgewood,15,133405.9,37h 03m,,,,,,37h 03m,34h 05m,30h 58m,27h 38m,24h 02m,19h 46m,15h 16m,11h 42m,9h 55m,7h 38m,5h 51m,4h 31m,3h 12m
Haut-Sheila,15,122417.9,34h 00m,,,,,,34h 00m,30h 12m,26h 39m,22h 55m,19h 31m,15h 55m,12h 21m,8h 39m,7h 22m,5h 54m,4h 29m,2h 44m,2h 13m
