from_name,n_regions,avg_time_sec,avg_time_h_m,avg_top_20_h_m,avg_top_19_h_m,avg_top_18_h_m,avg_top_17_h_m,avg_top_16_h_m,avg_top_15_h_m,avg_top_14_h_m,avg_top_13_h_m,avg_top_12_h_m,avg_top_11_h_m,avg_top_10_h_m,avg_top_9_h_m,avg_top_8_h_m,avg_top_7_h_m,avg_top_6_h_m,avg_top_5_h_m,avg_top_4_h_m,avg_top_3_h_m
Saint-Zotique,20,114330.1,31h 46m,31h 46m,29h 25m,27h 23m,25h 21m,23h 11m,21h 10m,19h 11m,17h 11m,14h 56m,12h 58m,11h 13m,9h 34m,8h 20m,7h 05m,5h 51m,4h 14m,3h 01m,1h 30m
Salaberry-de-Valleyfield,20,114508.1,31h 48m,31h 48m,29h 28m,27h 26m,25h 23m,23h 13m,21h 11m,19h 11m,17h 11m,14h 55m,12h 56m,11h 10m,9h 31m,8h 19m,7h 05m,5h 52m,4h 18m,3h 05m,1h 39m
Salisbury,20,130972.1,36h 23m,36h 23m,33h 41m,31h 15m,28h 46m,26h 05m,23h 29m,20h 51m,18h 05m,14h 58m,11h 57m,8h 56m,7h 44m,6h 36m,5h 20m,4h 02m,2h 14m,1h 41m,0h 51m
Salmo,20,129435.9,35h 57m,35h 57m,33h 44m,31h 43m,29h 30m,27h 12m,24h 36m,22h 06m,20h 15m,18h 14m,15h 58m,13h 43m,12h 12m,10h 52m,9h 12m,7h 56m,6h 49m,5h 56m,4h 36m
Salmon Arm,20,129720.2,36h 02m,36h 02m,33h 44m,31h 37m,29h 19m,26h 53m,24h 11m,21h 32m,19h 30m,17h 18m,14h 48m,12h 38m,11h 19m,9h 49m,8h 18m,6h 37m,5h 31m,4h 09m,3h 15m
Saltair,20,152334.8,42h 19m,42h 19m,39h 55m,37h 42m,35h 16m,32h 42m,29h 50m,27h 00m,24h 46m,22h 19m,19h 33m,17h 19m,15h 37m,14h 03m,12h 16m,10h 02m,8h 13m,5h 55m,3h 53m
Sardis,20,140093.2,38h 55m,38h 55m,36h 32m,34h 21m,31h 57m,29h 25m,26h 35m,23h 48m,21h 37m,19h 14m,16h 31m,14h 23m,12h 47m,11h 21m,9h 43m,7h 42m,6h 12m,4h 21m,3h 05m
Sarnia,20,124817.5,34h 40m,34h 40m,32h 32m,30h 44m,28h 57m,27h 03m,25h 21m,23h 44m,22h 10m,20h 25m,19h 01m,17h 25m,16h 04m,14h 32m,12h 52m,11h 06m,8h 44m,6h 46m,4h 33m
Saskatoon,20,105685.9,29h 21m,29h 21m,27h 22m,25h 36m,23h 41m,21h 41m,19h 28m,17h 23m,16h 00m,14h 31m,12h 48m,10h 52m,9h 27m,7h 57m,6h 34m,5h 40m,4h 35m,3h 15m,2h 41m
Sault Ste. Marie,20,106201.7,29h 30m,29h 30m,27h 45m,26h 21m,25h 02m,23h 41m,22h 34m,21h 25m,20h 19m,19h 20m,18h 11m,16h 55m,15h 29m,14h 01m,12h 13m,10h 22m,8h 23m,6h 08m,4h 31m
